kód obce,název obce,voliči v seznamu,vydané obálky,platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
590274,Babice,167,126,126,9,0,0,11,0,8,9,0,0,3,0,0,16,0,1,40,0,19,0,1,0,0,7,2
590282,Bačice,165,104,104,1,1,0,5,0,6,23,0,1,0,0,0,5,1,2,33,1,7,0,0,0,0,14,4
544833,Bačkovice,88,53,52,1,0,0,9,0,1,7,0,1,0,0,0,3,0,3,18,0,5,0,0,0,0,4,0
590304,Benetice,150,117,117,3,0,0,15,0,4,6,0,1,0,0,0,11,0,2,41,0,23,0,0,0,0,10,1
590312,Biskupice-Pulkov,222,118,118,7,0,0,7,1,8,13,2,1,1,0,0,6,2,2,48,0,14,0,0,0,0,6,0
590321,Blatnice,303,177,177,7,0,0,16,0,2,25,1,1,1,0,0,9,0,1,66,0,26,0,0,2,0,20,0
550400,Bohušice,124,76,76,6,0,0,4,0,4,9,0,1,0,0,0,2,0,9,20,0,10,0,0,0,0,11,0
590347,Bochovice,137,104,102,2,1,0,8,0,4,2,1,0,3,0,0,9,0,8,42,0,10,0,0,1,0,10,1
590363,Bransouze,200,149,148,10,3,0,23,0,7,16,1,1,1,0,0,12,0,5,48,0,15,0,3,0,0,3,0
590380,Březník,559,407,407,19,1,0,28,0,9,36,3,6,8,1,0,27,1,6,159,2,28,0,0,0,2,66,5
590401,Budišov,980,595,591,47,0,0,82,2,18,71,7,5,6,1,0,51,0,7,151,3,70,1,3,1,2,59,4
590410,Budkov,285,183,182,8,0,0,8,0,14,15,4,6,0,0,0,20,0,3,41,0,43,0,0,0,0,20,0
590428,Cidlina,73,59,59,2,0,0,1,0,1,11,0,1,0,0,0,2,0,0,21,0,11,0,1,0,0,8,0
590436,Čáslavice,443,316,313,17,0,0,23,2,12,59,0,4,5,0,2,31,1,10,84,0,20,0,2,0,2,39,0
553964,Častohostice,159,99,99,4,0,0,4,0,8,24,0,0,1,0,0,16,0,1,27,0,3,0,0,1,0,9,1
590444,Čechočovice,232,157,156,4,0,0,5,0,7,23,1,3,4,1,0,15,0,2,51,0,6,0,0,0,0,32,2
590452,Čechtín,249,204,204,6,0,0,30,0,7,18,0,2,0,0,0,22,0,1,74,0,25,0,1,0,1,17,0
590461,Červená Lhota,151,111,110,7,0,1,10,0,4,3,0,1,1,0,0,9,0,3,39,1,23,0,0,1,0,7,0
590479,Číhalín,159,129,129,11,0,0,16,0,11,17,1,0,0,0,0,13,0,2,23,0,21,0,0,0,1,12,1
590487,Číchov,201,129,129,9,0,0,19,0,1,14,0,4,1,1,0,11,0,1,45,0,10,0,1,1,0,11,0
590495,Čikov,180,120,116,13,0,1,4,0,2,23,1,4,1,0,0,14,0,5,30,0,4,0,0,0,1,10,3
590509,Číměř,163,119,119,1,0,0,8,0,9,13,1,0,0,0,0,4,0,7,52,0,14,0,1,0,1,8,0
590517,Dalešice,496,297,294,17,0,0,14,0,7,56,3,0,4,1,0,17,0,5,59,0,62,0,1,0,0,48,0
590525,Dědice,105,76,76,3,0,0,2,0,7,16,1,0,0,0,0,8,0,2,18,1,9,0,0,0,0,9,0
590533,Dešov,358,204,204,7,0,0,14,1,25,13,2,0,2,0,1,15,0,13,58,0,29,1,2,1,1,19,0
587664,Dolní Lažany,123,92,92,7,0,0,5,0,5,22,3,0,0,0,0,3,0,0,37,0,7,0,0,1,0,2,0
590550,Dolní Vilémovice,323,209,209,10,0,0,20,0,4,37,1,0,2,0,0,23,0,2,58,0,28,0,3,1,0,19,1
590568,Domamil,242,161,161,1,0,0,9,0,14,13,0,1,1,0,0,10,0,3,61,0,40,0,0,1,0,7,0
590576,Dukovany,682,466,458,44,0,0,24,3,12,64,3,4,5,0,0,42,1,9,164,0,29,0,1,0,1,50,2
590584,Hartvíkovice,452,275,270,16,0,0,19,0,5,38,1,2,3,0,0,22,0,9,95,0,29,0,0,1,0,29,1
590592,Heraltice,309,205,205,11,0,0,30,0,7,18,1,1,4,0,2,16,0,9,58,2,14,1,5,0,0,26,0
590614,Hluboké,174,97,93,8,0,0,4,0,4,9,0,0,0,0,1,14,0,1,29,1,14,0,1,0,0,6,1
590622,Hodov,267,180,180,17,0,0,16,0,7,5,1,1,0,0,0,15,0,5,67,1,29,0,2,0,1,13,0
590631,Horní Heřmanice,105,77,77,6,0,0,10,0,2,7,2,0,1,0,0,2,0,2,27,1,7,0,1,0,0,8,1
550612,Horní Smrčné,46,40,40,5,0,0,4,0,1,2,0,2,1,0,0,4,0,3,4,0,9,0,0,0,0,5,0
590649,Horní Újezd,220,155,154,14,0,0,25,1,9,15,0,2,2,0,0,21,0,8,26,0,17,0,1,1,0,11,1
590657,Horní Vilémovice,66,48,47,2,0,0,7,0,1,4,1,0,0,0,0,7,0,0,15,1,4,0,0,0,0,5,0
590665,Hornice,68,47,46,8,0,0,3,0,7,7,0,0,0,0,0,4,0,1,6,0,7,0,0,0,0,3,0
590673,Hrotovice,1432,858,851,67,2,0,106,1,28,113,7,4,6,0,0,55,2,23,233,0,104,0,4,2,1,74,19
550639,Hroznatín,86,56,56,5,0,0,3,0,2,3,0,0,0,0,0,8,0,1,21,1,5,0,0,0,0,7,0
590690,Hvězdoňovice,75,44,44,0,0,0,4,0,6,7,0,0,0,0,0,6,0,0,16,0,1,0,0,0,0,4,0
590703,Chlístov,230,161,160,11,0,0,11,1,5,13,0,3,4,0,0,19,1,2,59,0,13,0,3,0,0,13,2
590711,Chlum,124,90,90,3,0,0,6,1,2,12,1,0,0,0,1,17,0,6,16,0,16,0,1,0,0,8,0
550477,Chotěbudice,88,49,49,6,0,0,7,0,2,0,2,0,0,0,0,4,0,0,10,0,13,0,0,0,0,5,0
590746,Jakubov u Moravských Budějovic,503,318,316,12,0,0,19,0,23,34,1,2,4,0,0,22,0,4,111,0,42,0,3,1,0,38,0
590754,Jaroměřice nad Rokytnou,3355,2016,2002,129,2,2,184,1,51,252,9,17,17,2,5,151,2,42,628,6,228,0,11,4,5,251,3
590762,Jasenice,165,116,116,4,0,0,20,0,5,9,0,1,1,0,0,6,0,9,22,0,19,0,0,4,0,15,1
590789,Jemnice,3317,1958,1951,196,0,1,181,1,101,212,18,18,17,1,2,175,0,78,550,4,207,1,5,1,2,176,4
590797,Jinošov,186,123,122,15,0,0,13,1,10,16,2,0,2,1,0,4,0,3,23,0,13,0,0,0,1,17,1
550591,Jiratice,56,47,47,4,0,0,6,0,1,3,1,0,0,1,0,2,0,1,11,0,16,0,0,0,0,1,0
590801,Kamenná,182,131,129,10,0,0,13,0,1,9,6,1,0,0,0,9,1,8,41,0,9,0,1,0,0,19,1
590819,Kdousov,97,62,61,4,0,0,5,0,9,4,0,0,2,0,0,5,0,3,19,0,3,0,0,0,0,7,0
590827,Kladeruby nad Oslavou,159,107,107,1,0,0,15,0,3,15,2,2,0,0,0,0,0,2,44,0,12,0,0,0,0,11,0
590835,Klučov,143,110,109,9,0,0,11,0,3,15,0,2,0,0,0,9,0,4,23,1,10,0,0,0,1,20,1
590851,Kojatice,225,133,131,12,0,0,26,1,7,20,0,0,0,1,0,1,0,3,22,0,26,0,0,0,1,11,0
510645,Kojatín,71,51,51,5,0,0,6,1,0,3,0,0,0,0,0,4,0,3,23,0,4,0,0,0,0,2,0
590860,Kojetice,353,236,236,32,0,0,19,1,13,23,1,2,0,0,0,25,0,4,79,0,13,0,1,0,1,21,1
590878,Komárovice,101,58,58,1,0,0,5,0,2,10,0,0,0,0,0,10,0,0,19,0,1,0,0,1,0,9,0
590886,Koněšín,405,246,244,20,0,0,13,0,14,23,1,2,7,0,0,15,1,2,98,0,25,1,1,0,0,20,1
590894,Kostníky,158,96,96,4,0,0,8,0,7,9,2,3,1,0,0,10,0,3,29,0,14,0,1,0,0,5,0
590908,Kouty,312,215,215,10,0,0,35,0,12,15,2,1,1,0,1,23,0,7,57,0,25,0,0,1,1,24,0
590916,Kozlany,113,60,60,10,0,0,5,1,5,2,0,0,1,0,1,4,0,0,11,0,18,0,0,0,0,2,0
545309,Kožichovice,318,219,217,11,0,0,14,0,13,28,0,0,2,0,0,15,0,4,78,0,18,1,0,1,0,32,0
550710,Krahulov,231,165,164,15,1,0,19,1,5,24,0,0,0,1,0,14,0,4,50,0,12,0,1,0,0,17,0
590941,Kralice nad Oslavou,785,481,478,52,0,0,28,0,20,50,3,2,5,0,0,52,0,13,140,0,36,0,5,1,0,51,20
590959,Kramolín,111,76,75,7,0,0,6,0,3,3,0,1,4,0,0,4,0,4,29,0,6,0,0,1,0,7,0
590967,Krhov,160,97,97,2,0,0,5,0,3,13,0,4,0,0,0,4,0,2,33,2,16,0,0,1,0,9,3
590975,Krokočín,170,104,104,3,0,0,12,0,3,15,1,0,3,0,0,14,1,3,22,1,17,0,0,0,0,8,1
550302,Kuroslepy,133,93,93,5,0,0,5,0,4,7,1,1,0,0,0,6,0,3,40,0,6,0,0,0,0,15,0
510556,Láz,235,161,161,11,0,0,22,0,13,12,1,1,0,0,0,9,0,4,48,1,18,0,0,0,0,19,2
590983,Lesná,77,57,57,0,0,0,7,0,4,9,0,2,0,0,0,8,0,0,17,0,4,1,0,0,0,5,0
590991,Lesní Jakubov,478,457,453,61,0,1,15,0,5,42,4,20,2,3,2,63,2,10,103,14,23,0,2,6,19,55,1
591009,Lesonice,395,230,230,11,0,0,14,0,14,29,1,2,1,0,0,17,0,7,79,0,24,0,0,4,0,27,0
573485,Lesůňky,74,60,60,0,0,0,5,0,3,9,0,0,1,0,0,0,0,0,26,0,3,0,0,1,0,8,4
591025,Lhánice,134,95,95,7,0,0,4,3,3,10,2,3,2,0,2,3,0,1,29,0,18,0,0,0,0,8,0
544876,Lhotice,130,81,81,1,0,0,8,0,13,5,0,0,1,0,0,14,0,1,26,0,6,0,0,0,0,6,0
591041,Lipník,298,202,199,18,0,0,12,0,5,39,0,1,3,0,0,17,0,0,59,1,23,0,0,0,0,21,0
550507,Litohoř,421,232,231,18,2,0,10,0,10,28,2,3,2,0,0,23,0,4,85,0,21,0,4,0,1,18,0
591068,Litovany,119,83,82,6,0,0,7,0,1,8,0,0,1,0,1,2,0,4,33,0,13,0,0,0,2,4,0
587605,Lomy,106,76,76,9,0,0,7,0,6,10,0,0,0,0,0,1,0,1,14,0,16,0,0,0,0,12,0
591092,Loukovice,93,60,60,3,0,0,5,0,2,11,0,0,0,0,0,5,0,2,17,0,7,0,0,0,0,7,1
544957,Lovčovice,52,48,47,0,0,0,6,0,3,11,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,13,0
550566,Lukov,313,228,228,11,0,0,20,0,7,39,1,1,6,0,0,21,0,4,57,0,39,0,1,0,1,19,1
591114,Markvartice,205,141,140,21,0,0,10,0,7,14,1,1,1,1,0,11,0,5,38,0,11,0,5,0,0,14,0
550388,Martínkov,205,164,161,2,0,0,13,0,5,24,4,1,2,0,0,11,0,3,46,0,39,0,0,0,2,9,0
591122,Mastník,194,130,130,22,1,0,9,0,3,18,0,0,1,0,0,14,0,4,36,0,11,0,0,0,0,10,1
545031,Menhartice,111,74,73,2,0,0,4,0,10,3,0,2,0,0,0,4,0,3,20,0,13,0,0,1,0,11,0
591149,Meziříčko,75,30,30,3,0,0,4,0,0,9,1,0,0,1,0,2,0,0,6,0,3,0,0,0,0,1,0
591157,Mikulovice,181,131,130,7,0,0,8,0,4,10,2,2,0,0,0,12,0,3,56,1,10,0,0,0,0,14,1
591165,Mladoňovice,325,185,184,20,0,0,10,1,21,14,0,0,1,0,0,12,0,7,54,0,37,0,3,0,1,2,1
591173,Mohelno,1119,681,675,68,0,0,53,1,28,79,4,7,12,3,2,43,0,18,216,2,58,0,4,0,2,73,2
591181,Moravské Budějovice,6106,3746,3731,426,4,1,349,4,200,388,26,32,50,0,4,395,2,145,984,4,300,4,14,8,8,377,6
591190,Myslibořice,570,310,309,25,1,0,17,2,13,31,3,3,0,0,0,23,2,7,112,0,26,0,5,0,0,38,1
550779,Naloučany,132,95,95,3,1,0,12,0,6,8,1,3,2,1,0,3,0,4,30,0,7,0,3,1,1,9,0
591211,Náměšť nad Oslavou,4026,2558,2540,203,2,0,212,7,93,312,33,15,29,1,3,206,3,68,811,8,176,0,9,5,2,331,11
591220,Nárameč,280,171,169,21,0,0,19,0,5,17,3,3,0,0,0,8,1,4,52,1,19,0,0,1,0,15,0
591238,Nimpšov,59,39,39,0,0,0,2,0,1,16,0,0,3,0,0,0,0,0,9,0,4,0,0,2,0,2,0
591246,Nová Ves,183,139,139,5,0,0,9,0,9,12,1,1,0,0,4,10,0,5,42,0,18,0,1,1,0,20,1
591254,Nové Syrovice,766,403,402,21,1,0,33,1,20,54,6,3,5,1,0,27,1,8,136,4,34,0,0,2,2,41,2
591262,Nový Telečkov,92,65,65,4,0,0,3,0,4,11,0,1,0,1,0,7,0,0,14,0,10,0,0,0,1,9,0
510980,Ocmanice,263,170,169,15,0,0,13,0,7,18,2,1,0,1,0,12,0,0,69,0,12,0,0,0,0,19,0
591289,Odunec,74,56,56,7,0,0,5,0,1,7,0,0,1,0,0,6,0,1,11,0,10,1,0,0,0,5,1
591297,Okarec,98,70,70,7,0,0,5,0,3,14,0,0,1,0,0,5,0,2,17,0,0,0,0,0,0,16,0
546933,Okřešice,140,102,101,7,0,0,3,0,7,7,0,0,2,0,0,3,3,1,36,0,20,0,4,0,0,8,0
591301,Okříšky,1701,1116,1103,143,0,0,142,4,34,122,9,12,18,1,0,75,1,26,310,6,85,0,13,3,1,97,1
591319,Opatov,633,395,393,24,0,0,26,0,25,59,2,7,12,1,0,35,2,2,120,1,26,0,0,2,1,47,1
591327,Oponešice,145,89,89,6,0,0,11,1,10,6,0,1,1,0,0,1,0,2,20,0,19,0,0,0,0,11,0
591335,Ostašov,116,82,82,7,0,0,11,0,1,11,1,0,0,0,0,10,1,4,19,0,5,0,0,3,0,9,0
550469,Pálovice,134,84,83,8,0,0,8,0,5,10,0,0,0,0,0,6,0,0,8,0,11,0,2,0,0,25,0
591360,Petrovice,347,228,227,13,0,0,22,1,12,24,5,2,6,0,0,13,0,12,75,0,12,0,0,1,0,26,3
591378,Petrůvky,94,80,80,8,0,0,1,0,3,14,0,0,8,0,0,6,0,2,21,1,10,0,0,0,0,6,0
550370,Pokojovice,83,69,69,2,0,0,8,0,3,9,0,1,3,0,1,3,0,3,18,0,11,0,0,0,0,7,0
591394,Police,285,205,205,16,0,0,13,0,61,24,1,1,1,0,0,16,0,5,45,0,8,0,0,1,1,12,0
591408,Popůvky,71,52,52,3,0,0,2,0,1,15,0,1,1,0,0,6,0,0,12,0,7,0,0,0,0,4,0
591416,Pozďatín,130,87,87,3,0,0,6,0,4,16,0,5,1,0,0,6,0,5,22,1,11,0,1,0,2,3,1
591424,Přeckov,56,47,47,2,0,0,5,0,2,1,0,0,1,0,0,3,0,4,5,0,22,0,0,0,0,2,0
591432,Předín,575,350,348,18,1,0,24,0,19,45,4,0,7,0,1,40,0,9,107,1,32,0,0,1,0,38,1
591441,Přešovice,121,77,77,1,0,0,7,0,0,11,1,4,0,0,0,8,0,0,33,0,4,0,0,1,0,7,0
591459,Přibyslavice,639,429,428,19,0,0,32,0,20,62,3,4,4,0,0,31,0,10,105,3,71,0,1,0,2,57,4
544752,Příštpo,229,135,134,8,0,0,9,0,4,20,0,2,0,0,0,7,0,2,44,1,13,0,0,0,1,23,0
591491,Pucov,133,72,72,2,1,0,6,0,1,6,0,0,3,0,0,3,0,0,31,0,5,0,0,0,0,14,0
591505,Pyšel,381,260,260,7,0,0,23,0,6,30,3,5,3,1,0,14,0,10,70,1,52,0,2,0,0,23,10
511307,Rácovice,91,72,72,8,0,0,4,0,2,5,0,1,1,0,0,9,0,0,13,1,19,0,0,0,0,7,2
591521,Račice,63,50,50,1,0,0,5,0,6,6,0,0,0,0,0,2,0,3,19,0,2,0,0,0,0,6,0
550493,Radkovice u Budče,119,66,63,0,0,0,5,0,1,7,0,0,1,0,0,6,0,0,14,1,13,0,0,1,1,13,0
591548,Radkovice u Hrotovic,258,185,185,11,0,0,14,0,10,22,1,5,3,1,0,6,0,2,63,1,38,0,0,1,0,7,0
591556,Radonín,62,37,37,0,0,0,6,1,3,6,0,0,1,0,0,2,0,0,6,0,7,0,0,1,0,4,0
591564,Radošov,142,112,112,3,0,0,12,0,7,9,5,1,1,0,0,10,0,5,34,0,16,0,0,0,0,9,0
545040,Radotice,119,74,73,2,0,0,6,1,9,2,2,0,1,0,0,1,0,2,28,0,12,0,0,0,0,7,0
591581,Rapotice,431,305,303,28,0,0,33,0,16,36,4,2,5,2,0,16,0,11,74,0,38,0,0,1,0,33,4
591602,Rohy,102,65,65,3,0,0,9,0,5,7,3,0,1,0,0,6,0,2,22,0,3,0,1,0,0,2,1
591611,Rokytnice nad Rokytnou,695,490,489,32,0,0,35,0,14,57,4,2,4,0,0,52,0,11,134,3,104,1,1,0,1,32,2
591629,Rouchovany,958,653,651,44,1,1,155,0,11,45,7,5,9,1,2,50,1,10,169,1,51,1,0,1,0,83,3
591637,Rudíkov,563,382,381,32,2,2,27,0,12,39,7,5,8,0,0,43,0,12,132,0,37,0,1,0,0,20,2
591645,Římov,344,234,233,13,0,0,17,0,3,23,0,2,9,0,0,25,0,5,68,0,22,0,0,0,0,45,1
511081,Sedlec,206,129,129,9,0,0,11,0,1,20,1,1,4,0,0,4,1,0,30,4,17,0,0,0,0,24,2
591688,Slavětice,198,133,133,8,0,0,6,0,2,26,0,0,0,0,0,4,0,3,29,1,26,0,1,2,0,25,0
591700,Slavičky,209,144,143,4,0,0,8,0,9,14,0,2,1,0,0,15,0,1,52,1,20,0,1,1,2,12,0
545180,Slavíkovice,187,109,108,7,0,0,5,1,15,21,1,2,1,0,1,8,0,3,22,1,4,0,0,0,0,16,0
591726,Smrk,218,132,132,19,0,0,19,0,3,24,2,0,2,1,0,3,0,4,27,0,9,0,0,0,1,18,0
591742,Stařeč,1305,880,875,105,0,0,47,1,50,69,3,11,8,0,0,82,1,48,258,5,66,0,5,2,1,110,3
587460,Stropešín,108,64,64,3,0,0,5,0,0,11,0,0,1,0,0,5,0,2,24,0,2,0,0,0,0,10,1
554871,Střítež,415,279,278,27,1,0,21,3,9,21,4,0,13,0,0,27,0,5,96,1,20,0,1,0,0,29,0
591769,Studenec,460,281,280,11,0,0,25,0,6,62,1,3,4,1,0,21,0,3,70,3,32,0,1,0,0,35,2
591777,Studnice,122,68,68,1,0,0,12,0,4,11,1,1,0,0,0,10,0,2,9,0,7,0,0,0,1,9,0
591785,Sudice,295,182,182,17,0,0,20,1,2,37,0,5,3,0,1,4,1,7,27,2,21,0,3,3,3,25,0
591793,Svatoslav,205,124,123,14,0,0,4,0,9,9,0,0,2,1,0,14,0,3,48,0,12,0,1,2,0,3,1
591807,Šebkovice,376,228,227,10,0,0,17,0,9,28,2,2,4,0,0,28,1,4,87,0,12,0,2,0,1,18,2
591815,Štěměchy,244,167,167,16,0,0,25,0,6,28,2,0,1,1,0,13,0,5,27,0,20,0,0,0,1,22,0
591823,Štěpkov,85,61,61,2,0,0,6,0,1,6,2,0,0,0,0,3,0,0,22,1,13,0,0,0,0,5,0
591840,Trnava,556,369,367,29,0,0,31,1,17,24,3,0,7,2,2,27,0,18,109,1,56,0,0,0,1,37,2
591858,Třebelovice,345,240,240,11,1,0,24,0,12,16,4,1,0,0,1,17,0,2,76,1,49,0,1,2,1,21,0
591866,Třebenice,370,220,220,18,0,0,17,0,8,27,1,1,0,1,0,23,0,4,78,1,18,0,0,0,0,22,1
590266,Třebíč,29347,18564,18482,1910,14,6,1491,13,754,1629,235,139,315,9,12,2081,11,798,5371,41,1149,7,129,31,14,2281,42
550311,Třesov,71,51,51,0,0,0,4,0,4,1,0,0,0,1,0,2,0,0,26,0,9,0,0,0,0,4,0
587699,Valdíkov,88,54,53,2,0,0,9,0,7,3,0,0,2,0,1,3,0,1,13,0,6,0,0,0,0,6,0
591874,Valeč,594,410,409,34,0,0,33,1,7,39,6,8,4,0,0,30,0,4,131,1,60,0,1,2,0,46,2
588342,Vícenice,146,92,91,8,0,0,10,0,6,13,0,1,0,0,0,8,0,0,35,0,5,0,0,0,1,4,0
511242,Vícenice u Náměště nad Oslavou,313,216,211,10,0,2,11,0,6,26,1,0,1,0,0,13,0,3,93,0,14,0,5,0,3,23,0
591904,Vladislav,972,650,649,32,0,0,51,1,46,106,5,7,15,2,0,50,2,9,195,5,34,0,2,4,3,79,1
591912,Vlčatín,110,81,81,8,0,0,10,0,2,6,0,2,0,0,0,10,0,2,16,0,17,0,0,0,1,7,0
591939,Výčapy,665,431,431,30,1,0,27,0,24,18,3,3,2,0,0,52,0,12,152,1,61,2,2,3,0,35,3
591947,Zahrádka,107,72,71,2,0,0,4,0,0,9,2,1,0,0,0,4,0,1,29,0,9,0,0,0,0,10,0
591955,Zárubice,97,76,75,7,0,0,8,0,5,8,1,0,0,0,0,3,0,3,28,2,6,0,0,1,0,3,0
591963,Zašovice,102,77,77,3,0,0,5,1,1,9,1,2,0,0,0,7,0,7,24,0,6,0,4,0,0,7,0
591980,Zvěrkovice,197,137,136,8,0,0,9,0,5,21,3,2,1,0,0,10,0,2,39,0,20,1,0,1,1,12,1
591998,Želetava,1241,738,730,44,1,0,64,1,37,101,12,8,6,0,0,93,0,24,156,0,112,0,1,0,0,66,4
